target,target1,is_sick,date,area,size,speed,x_head,y_head,rotation,x_center,y_center,temperature,temperature_speed
25,m25,FALSE,10/22/20,637.66,18.32,3.87,0.59,0.18,0.33,0.52,0.22,39.86,-0.04
25,m25,FALSE,10/22/20,638.41,18.33,3.87,0.59,0.19,0.32,0.52,0.23,39.86,-0.04
25,m25,FALSE,10/22/20,637.04,18.26,3.87,0.59,0.19,0.32,0.52,0.23,39.86,-0.04
25,m25,FALSE,10/22/20,637.53,18.28,3.88,0.59,0.19,0.32,0.52,0.23,39.86,-0.04
25,m25,FALSE,10/22/20,637.69,18.2,3.8,0.58,0.19,0.32,0.52,0.23,39.87,-0.04
25,m25,FALSE,10/22/20,638.15,18.21,3.82,0.58,0.19,0.32,0.52,0.23,39.87,-0.04
25,m25,FALSE,10/22/20,639.48,18.23,4.15,0.58,0.19,0.33,0.52,0.24,39.86,-0.04
25,m25,FALSE,10/22/20,640.03,18.27,4.18,0.59,0.19,0.33,0.52,0.24,39.87,-0.03
25,m25,FALSE,10/22/20,639.49,18.26,4.18,0.59,0.19,0.33,0.53,0.24,39.86,-0.03
25,m25,FALSE,10/22/20,639.22,18.27,4.18,0.59,0.2,0.33,0.53,0.24,39.86,-0.03
25,m25,FALSE,10/22/20,639.54,18.31,4.2,0.59,0.19,0.33,0.53,0.24,39.87,-0.03
25,m25,FALSE,10/22/20,640.22,18.31,4.21,0.59,0.19,0.33,0.53,0.24,39.87,-0.03
25,m25,FALSE,10/22/20,640.12,18.35,4.22,0.59,0.2,0.32,0.53,0.24,39.88,-0.03
25,m25,FALSE,10/22/20,637.03,18.3,4.19,0.59,0.2,0.32,0.53,0.24,39.88,-0.03
25,m25,FALSE,10/22/20,636.24,18.33,4.31,0.59,0.2,0.32,0.53,0.24,39.89,-0.03
25,m25,FALSE,10/22/20,634.12,18.32,4.31,0.59,0.2,0.32,0.53,0.24,39.88,-0.04
25,m25,FALSE,10/22/20,635.58,18.33,4.31,0.59,0.2,0.32,0.53,0.24,39.88,-0.04
25,m25,FALSE,10/22/20,634.63,18.33,4.32,0.59,0.2,0.32,0.53,0.24,39.87,-0.04
25,m25,FALSE,10/22/20,634.12,18.36,4.31,0.59,0.2,0.32,0.53,0.24,39.87,-0.04
25,m25,FALSE,10/22/20,635.12,18.4,4.34,0.59,0.21,0.33,0.53,0.24,39.87,-0.04
25,m25,FALSE,10/22/20,634.46,18.41,4.34,0.59,0.21,0.33,0.52,0.24,39.87,-0.04
25,m25,FALSE,10/22/20,633.56,18.4,4.35,0.59,0.21,0.33,0.52,0.25,39.86,-0.03
25,m25,FALSE,10/22/20,633.74,18.42,4.36,0.58,0.21,0.33,0.52,0.25,39.86,-0.03
25,m25,FALSE,10/22/20,633.83,18.44,4.61,0.59,0.21,0.34,0.52,0.25,39.85,-0.03
25,m25,FALSE,10/22/20,633.98,18.47,4.64,0.59,0.21,0.34,0.52,0.25,39.87,-0.02
25,m25,FALSE,10/22/20,635.37,18.49,4.66,0.59,0.21,0.34,0.52,0.25,39.87,-0.03
25,m25,FALSE,10/22/20,635.88,18.5,4.66,0.59,0.21,0.34,0.52,0.25,39.88,-0.04
25,m25,FALSE,10/22/20,635.95,18.48,4.53,0.59,0.21,0.33,0.52,0.25,39.88,-0.03
25,m25,FALSE,10/22/20,635.42,18.48,4.52,0.59,0.22,0.33,0.52,0.26,39.9,-0.02
25,m25,FALSE,10/22/20,635.71,18.5,4.52,0.59,0.22,0.33,0.52,0.26,39.9,-0.03
25,m25,FALSE,10/22/20,635.87,18.45,4.51,0.59,0.22,0.32,0.52,0.26,39.9,-0.02
25,m25,FALSE,10/22/20,635.59,18.45,4.51,0.59,0.22,0.32,0.52,0.26,39.9,-0.02
25,m25,FALSE,10/22/20,634.88,18.46,4.52,0.59,0.23,0.32,0.52,0.26,39.9,-0.02
25,m25,FALSE,10/22/20,634.69,18.47,4.52,0.59,0.23,0.32,0.52,0.27,39.89,-0.02
25,m25,FALSE,10/22/20,632.75,18.47,4.52,0.59,0.23,0.32,0.52,0.27,39.9,-0.01
25,m25,FALSE,10/22/20,632.74,18.5,4.54,0.59,0.23,0.32,0.52,0.27,39.89,-0.01
25,m25,FALSE,10/22/20,632.95,18.53,4.56,0.59,0.23,0.32,0.52,0.27,39.88,-0.02
25,m25,FALSE,10/22/20,631.87,18.53,4.65,0.59,0.23,0.32,0.52,0.27,39.89,-0.01
25,m25,FALSE,10/22/20,632.95,18.56,4.66,0.59,0.23,0.32,0.52,0.27,39.9,-0.01
25,m25,FALSE,10/22/20,632.49,18.53,4.8,0.59,0.23,0.32,0.52,0.27,39.89,-0.02
25,m25,FALSE,10/22/20,632.3,18.56,4.81,0.59,0.23,0.32,0.52,0.27,39.9,-0.01
25,m25,FALSE,10/22/20,632.85,18.56,4.81,0.59,0.23,0.32,0.53,0.27,39.9,-0.01
25,m25,FALSE,10/22/20,632.15,18.58,4.84,0.59,0.24,0.32,0.53,0.27,39.89,-0.01
25,m25,FALSE,10/22/20,631.42,18.6,4.91,0.59,0.24,0.32,0.53,0.28,39.9,-0.01
25,m25,FALSE,10/22/20,630.87,18.59,4.94,0.59,0.24,0.32,0.53,0.28,39.9,-0.01
25,m25,FALSE,10/22/20,630.99,18.54,4.95,0.59,0.24,0.32,0.53,0.28,39.89,0
25,m25,FALSE,10/22/20,631.58,18.5,4.94,0.59,0.25,0.32,0.53,0.28,39.9,0
25,m25,FALSE,10/22/20,632.21,18.49,4.94,0.59,0.25,0.32,0.53,0.29,39.89,0
25,m25,FALSE,10/22/20,632.17,18.48,4.95,0.59,0.25,0.32,0.53,0.29,39.9,0
25,m25,FALSE,10/22/20,632.54,18.45,4.79,0.59,0.25,0.31,0.53,0.29,39.88,-0.02
25,m25,FALSE,10/22/20,631.24,18.38,4.78,0.6,0.25,0.31,0.53,0.29,39.89,-0.02
25,m25,FALSE,10/22/20,631.28,18.37,4.77,0.6,0.25,0.31,0.53,0.29,39.89,-0.01
25,m25,FALSE,10/22/20,630.71,18.36,4.77,0.6,0.25,0.31,0.53,0.29,39.9,-0.01
25,m25,FALSE,10/22/20,628.47,18.33,4.7,0.6,0.25,0.31,0.53,0.29,39.9,-0.01
25,m25,FALSE,10/22/20,628.84,18.34,4.71,0.6,0.26,0.31,0.53,0.3,39.9,-0.01
25,m25,FALSE,10/22/20,630.39,18.37,4.67,0.6,0.26,0.3,0.53,0.3,39.89,-0.01
25,m25,FALSE,10/22/20,632.07,18.31,4.68,0.6,0.26,0.3,0.54,0.3,39.88,-0.02
25,m25,FALSE,10/22/20,632.27,18.32,4.69,0.6,0.26,0.3,0.54,0.3,39.87,-0.02
25,m25,FALSE,10/22/20,631.76,18.3,4.69,0.6,0.26,0.3,0.54,0.3,39.88,-0.02
25,m25,FALSE,10/22/20,633.6,18.32,4.69,0.6,0.26,0.3,0.54,0.31,39.88,-0.02
25,m25,FALSE,10/22/20,632.18,18.32,4.74,0.6,0.27,0.31,0.54,0.31,39.88,-0.02
25,m25,FALSE,10/22/20,632.84,18.39,4.74,0.6,0.27,0.32,0.54,0.31,39.88,-0.03
25,m25,FALSE,10/22/20,634.68,18.4,4.75,0.6,0.27,0.32,0.54,0.31,39.87,-0.03
25,m25,FALSE,10/22/20,633.38,18.37,4.6,0.6,0.26,0.32,0.53,0.31,39.86,-0.04
25,m25,FALSE,10/22/20,634.27,18.36,4.59,0.6,0.27,0.32,0.53,0.31,39.85,-0.04
25,m25,FALSE,10/22/20,636.5,18.3,4.59,0.6,0.27,0.32,0.53,0.31,39.85,-0.04
25,m25,FALSE,10/22/20,636.31,18.31,4.6,0.6,0.27,0.33,0.53,0.31,39.85,-0.03
25,m25,FALSE,10/22/20,636.79,18.3,4.6,0.6,0.27,0.33,0.53,0.31,39.85,-0.03
25,m25,FALSE,10/22/20,636.88,18.3,4.6,0.59,0.27,0.33,0.53,0.31,39.85,-0.03
25,m25,FALSE,10/22/20,636.83,18.29,4.6,0.59,0.27,0.33,0.53,0.31,39.85,-0.03
25,m25,FALSE,10/22/20,636.34,18.28,4.6,0.59,0.27,0.33,0.53,0.31,39.84,-0.03
25,m25,FALSE,10/22/20,638.12,18.29,4.57,0.59,0.27,0.32,0.53,0.31,39.83,-0.03
25,m25,FALSE,10/22/20,639.72,18.28,4.56,0.59,0.27,0.32,0.53,0.31,39.82,-0.03
25,m25,FALSE,10/22/20,640.55,18.37,4.57,0.59,0.27,0.33,0.53,0.31,39.83,-0.03
25,m25,FALSE,10/22/20,642.56,18.4,4.56,0.59,0.27,0.32,0.52,0.31,39.83,-0.03
25,m25,FALSE,10/22/20,644.33,18.41,4.54,0.58,0.27,0.32,0.52,0.31,39.83,-0.03
25,m25,FALSE,10/22/20,646.32,18.42,4.53,0.58,0.26,0.33,0.52,0.31,39.83,-0.04
25,m25,FALSE,10/22/20,645.63,18.41,4.5,0.58,0.26,0.33,0.52,0.31,39.82,-0.04
25,m25,FALSE,10/22/20,641.68,18.35,4.68,0.58,0.27,0.34,0.52,0.31,39.82,-0.04
