date1,date,target,target1,is_sick,area,size,speed,x_head,y_head,rotation,x_center,y_center,temperature,temperature_speed
44126.00,10/22/20,25,m25,FALSE,764.65,19.18,4.82,0.66,0.15,0.31,0.63,0.26,39.17,-0.22
44126.00,10/22/20,25,m25,FALSE,763.28,19.17,4.81,0.66,0.15,0.31,0.63,0.26,39.18,-0.22
44126.00,10/22/20,25,m25,FALSE,761.91,19.16,4.8,0.66,0.15,0.31,0.63,0.26,39.19,-0.22
44126.00,10/22/20,25,m25,FALSE,760.53,19.15,4.78,0.66,0.15,0.31,0.63,0.26,39.19,-0.21
44126.00,10/22/20,25,m25,FALSE,759.16,19.14,4.77,0.66,0.15,0.31,0.63,0.26,39.2,-0.21
44126.00,10/22/20,25,m25,FALSE,757.79,19.13,4.76,0.66,0.15,0.31,0.63,0.26,39.21,-0.21
44126.00,10/22/20,25,m25,FALSE,756.42,19.12,4.75,0.66,0.15,0.31,0.63,0.26,39.21,-0.2
44126.00,10/22/20,25,m25,FALSE,755.05,19.11,4.74,0.66,0.15,0.31,0.63,0.26,39.22,-0.2
44126.00,10/22/20,25,m25,FALSE,753.68,19.1,4.73,0.66,0.15,0.31,0.63,0.26,39.23,-0.2
44126.00,10/22/20,25,m25,FALSE,752.3,19.09,4.72,0.66,0.15,0.31,0.63,0.26,39.24,-0.19
44126.00,10/22/20,25,m25,FALSE,750.93,19.08,4.7,0.66,0.15,0.31,0.63,0.26,39.24,-0.19
44126.00,10/22/20,25,m25,FALSE,749.56,19.07,4.69,0.66,0.15,0.31,0.63,0.26,39.25,-0.19
44126.00,10/22/20,25,m25,FALSE,748.19,19.06,4.68,0.66,0.15,0.31,0.63,0.25,39.26,-0.19
44126.00,10/22/20,25,m25,FALSE,746.82,19.05,4.67,0.66,0.15,0.31,0.63,0.25,39.26,-0.18
44126.00,10/22/20,25,m25,FALSE,745.45,19.04,4.66,0.66,0.15,0.31,0.63,0.25,39.27,-0.18
44126.00,10/22/20,25,m25,FALSE,744.07,19.03,4.65,0.66,0.15,0.31,0.63,0.25,39.28,-0.18
44126.00,10/22/20,25,m25,FALSE,742.7,19.02,4.63,0.66,0.15,0.31,0.62,0.25,39.29,-0.17
44126.00,10/22/20,25,m25,FALSE,741.33,19.01,4.62,0.66,0.15,0.31,0.62,0.25,39.29,-0.17
44126.00,10/22/20,25,m25,FALSE,739.96,19,4.61,0.66,0.15,0.31,0.62,0.25,39.3,-0.17
44126.00,10/22/20,25,m25,FALSE,738.59,18.99,4.6,0.66,0.15,0.31,0.62,0.25,39.31,-0.16
44126.00,10/22/20,25,m25,FALSE,737.22,18.98,4.59,0.66,0.15,0.31,0.62,0.25,39.31,-0.16
44126.00,10/22/20,25,m25,FALSE,735.84,18.97,4.58,0.66,0.15,0.31,0.62,0.25,39.32,-0.16
44126.00,10/22/20,25,m25,FALSE,734.47,18.96,4.57,0.66,0.15,0.31,0.62,0.25,39.33,-0.16
44126.00,10/22/20,25,m25,FALSE,733.1,18.95,4.55,0.66,0.15,0.31,0.62,0.25,39.33,-0.15
44126.00,10/22/20,25,m25,FALSE,731.73,18.94,4.54,0.66,0.15,0.31,0.62,0.25,39.34,-0.15
44126.00,10/22/20,25,m25,FALSE,730.36,18.93,4.53,0.66,0.15,0.31,0.62,0.25,39.35,-0.15
44126.00,10/22/20,25,m25,FALSE,728.99,18.92,4.52,0.66,0.15,0.31,0.62,0.25,39.36,-0.14
44126.00,10/22/20,25,m25,FALSE,727.61,18.91,4.51,0.66,0.15,0.31,0.62,0.25,39.36,-0.14
44126.00,10/22/20,25,m25,FALSE,726.24,18.9,4.5,0.66,0.15,0.31,0.62,0.25,39.37,-0.14
44126.00,10/22/20,25,m25,FALSE,724.87,18.89,4.49,0.66,0.15,0.31,0.62,0.25,39.38,-0.13
44126.00,10/22/20,25,m25,FALSE,723.5,18.88,4.47,0.66,0.15,0.31,0.62,0.24,39.38,-0.13
44126.00,10/22/20,25,m25,FALSE,722.13,18.87,4.46,0.66,0.15,0.31,0.62,0.24,39.39,-0.13
44126.00,10/22/20,25,m25,FALSE,720.76,18.86,4.45,0.66,0.15,0.31,0.61,0.24,39.4,-0.12
44126.00,10/22/20,25,m25,FALSE,719.38,18.85,4.44,0.66,0.15,0.31,0.61,0.24,39.41,-0.12
44126.00,10/22/20,25,m25,FALSE,718.01,18.84,4.43,0.66,0.15,0.31,0.61,0.24,39.41,-0.12
44126.00,10/22/20,25,m25,FALSE,716.64,18.83,4.42,0.66,0.15,0.31,0.61,0.24,39.42,-0.12
44126.00,10/22/20,25,m25,FALSE,715.27,18.82,4.4,0.66,0.15,0.31,0.61,0.24,39.43,-0.11
44126.00,10/22/20,25,m25,FALSE,713.9,18.81,4.39,0.66,0.15,0.3,0.61,0.24,39.43,-0.11
44126.00,10/22/20,25,m25,FALSE,712.53,18.8,4.38,0.66,0.15,0.3,0.61,0.24,39.44,-0.11
